alphaCode,commonName,scientificName,ebirdCode
ABTO,Abert's Towhee,Melozone aberti,abetow
ACFL,Acadian Flycatcher,Empidonax virescens,acafly
ACWO,Acorn Woodpecker,Melanerpes formicivorus,acowoo
ADWA,Adelaide's Warbler,Setophaga adelaidae,adewar1
AFCD,African Collared-Dove,Streptopelia roseogrisea,afcdov1
AFSI,African Silverbill,Euodice cantans,afrsil1
AGHE,Agami Heron,Agamia agami,agaher1
AISP,Ainley's Storm-Petrel,Hydrobates cheimomnestes,leastp2
AKEK,Akekee,Loxops caeruleirostris,akekee
AKIA,Akiapolaau,Hemignathus wilsoni,akiapo
AKIK,Akikiki,Oreomystis bairdi,akikik
AKOH,Akohekohe,Palmeria dolei,crehon
ALFL,Alder Flycatcher,Empidonax alnorum,aldfly
ALTE,Aleutian Tern,Onychoprion aleuticus,aleter1
ALHU,Allen's Hummingbird,Selasphorus sasin,allhum
ALSW,Alpine Swift,Tachymarptis melba,alpswi1
ALOR,Altamira Oriole,Icterus gularis,altori
ALYE,Altamira Yellowthroat,Geothlypis flavovelata,altyel1
AMAU,Amaui,Myadestes woahensis,amaui
AMHU,Amazilia Hummingbird,Amazilis amazilia,amahum1
AMKI,Amazon Kingfisher,Chloroceryle amazona,amakin1
AMAV,American Avocet,Recurvirostra americana,ameavo
ABOW,American Barn Owl,Tyto furcata,brnowl
AMBI,American Bittern,Botaurus lentiginosus,amebit
ABDU,American Black Duck,Anas rubripes,ambduc
AMCO,American Coot,Fulica americana,y00475
AMCR,American Crow,Corvus brachyrhynchos,amecro
AMDI,American Dipper,Cinclus mexicanus,amedip
AMFL,American Flamingo,Phoenicopterus ruber,grefla2
AMGP,American Golden-Plover,Pluvialis dominica,amgplo
AGOL,American Goldfinch,Spinus tristis,amegfi
AGOS,American Goshawk,Astur atricapillus,norgos
AHGU,American Herring Gull,Larus smithsonianus,amhgul1
AMKE,American Kestrel,Falco sparverius,amekes
AMOY,American Oystercatcher,Haematopus palliatus,ameoys
AMPI,American Pipit,Anthus rubescens,amepip
APKI,American Pygmy Kingfisher,Chloroceryle aenea,ampkin1
AMRE,American Redstart,Setophaga ruticilla,amered
AMRO,American Robin,Turdus migratorius,amerob
ATTW,American Three-toed Woodpecker,Picoides dorsalis,attwoo1
ATSP,American Tree Sparrow,Spizelloides arborea,amtspa
AWPE,American White Pelican,Pelecanus erythrorhynchos,amwpel
AMWI,American Wigeon,Mareca americana,amewig
AMWO,American Woodcock,Scolopax minor,amewoo
ATMG,Amethyst-throated Mountain-gem,Lampornis amethystinus,amthum1
ANMU,Ancient Murrelet,Synthliboramphus antiquus,ancmur
ANHI,Anhinga,Anhinga anhinga,anhing
ANIA,Anianiau,Magumma parva,aniani
ANHU,Anna's Hummingbird,Calypte anna,annhum
ANCH,Antillean Crested Hummingbird,Orthorhyncus cristatus,anchum1
ANNI,Antillean Nighthawk,Chordeiles gundlachii,antnig
ANPI,Antillean Piculet,Nesoctites micromegas,antpic1
ANSI,Antillean Siskin,Spinus dominicensis,antsis1
APAP,Apapane,Himatione sanguinea,apapan
APFA,Aplomado Falcon,Falco femoralis,aplfal
ARLO,Arctic Loon,Gavia arctica,arcloo
ARTE,Arctic Tern,Sterna paradisaea,arcter
ARWA,Arctic Warbler,Phylloscopus borealis,arcwar1
ARWO,Arizona Woodpecker,Leuconotopicus arizonae,ariwoo
ARRW,Arrowhead Warbler,Setophaga pharetra,arrwar1
ATFL,Ash-throated Flycatcher,Myiarchus cinerascens,astfly
ASSP,Ashy Storm-Petrel,Hydrobates homochroa,asspet
AFOW,Ashy-faced Owl,Tyto glaucops,asfowl1
ATCH,Ashy-throated Chlorospingus,Chlorospingus canigularis,atbtan1
ABFL,Asian Brown Flycatcher,Muscicapa dauurica,asbfly
ASRF,Asian Rosy-Finch,Leucosticte arctoa,asrfin1
ATGR,Atitlan Grebe,Podilymbus gigas,atigre1
ATPU,Atlantic Puffin,Fratercula arctica,atlpuf
AUOR,Audubon's Oriole,Icterus graduacauda,audori
AZRA,Aztec Rail,Rallus tenuirostris,kinrai2
AZTH,Aztec Thrush,Ridgwayia pinicola,aztthr
AZGA,Azure Gallinule,Porphyrio flavirostris,azugal1
AZCH,Azure-crowned Hummingbird,Saucerottia cyanocephala,azchum1
AHJA,Azure-hooded Jay,Cyanolyca cucullata,azhjay1
ARTA,Azure-rumped Tanager,Poecilostreptus cabanisi,azrtan1
BACS,Bachman's Sparrow,Peucaea aestivalis,bacspa
BAWA,Bachman's Warbler,Vermivora bachmanii,bacwar
BAMO,Bahama Mockingbird,Mimus gundlachii,bahmoc
BANU,Bahama Nuthatch,Sitta insularis,bnhnut2
BAHO,Bahama Oriole,Icterus northropi,graori3
BAHS,Bahama Swallow,Tachycineta cyaneoviridis,bahswa
BAHW,Bahama Warbler,Setophaga flavescens,yetwar3
BAWO,Bahama Woodstar,Nesophlox evelynae,bahwoo
BAYE,Bahama Yellowthroat,Geothlypis rostrata,bahyel1
BATE,Baikal Teal,Sibirionetta formosa,baitea
BAJU,Baird's Junco,Junco bairdi,yeejun2
BASA,Baird's Sandpiper,Calidris bairdii,baisan
BAIS,Baird's Sparrow,Centronyx bairdii,baispa
BATR,Baird's Trogon,Trogon bairdii,baitro1
BAEA,Bald Eagle,Haliaeetus leucocephalus,baleag
BASO,Balsas Screech-Owl,Megascops seductus,basowl
BAOR,Baltimore Oriole,Icterus galbula,balori
BANA,Bananaquit,Coereba flaveola,banana
BABW,Band-backed Wren,Campylorhynchus zonatus,babwre1
BSTP,Band-rumped Storm-Petrel,Hydrobates castro,barpet
BRSW,Band-rumped Swift,Chaetura spinicaudus,barswi
BTBA,Band-tailed Barbthroat,Threnetes ruckeri,batbar1
BTPI,Band-tailed Pigeon,Patagioenas fasciata,batpig1
BAQU,Banded Quail,Philortyx fasciatus,banqua1
BANW,Banded Wren,Thryophilus pleurostictus,banwre1
