Common Name,Genus,Species,Number,Species Comments,Location Name,Latitude,Longitude,Date,Start Time,State/Province,Country Code,Protocol,Number of Observers,Duration,All observations reported?,Effort Distance Miles,Effort area acres,Submission Comments
Canada Goose,,,45,Pair ,Tim's House,,,2/4/2007,13:30,MD,US,stationary,2,90,Y,,,"Windy and warm, high 90s"
Mallard,,,3,,Tim's House,,,2/4/2007,13:30,MD,US,stationary,2,90,Y,,,"Windy and warm, high 90s"
Common Loon,,,4,Juvenile,Tim's House,,,2/4/2007,13:30,MD,US,stationary,2,90,Y,,,"Windy and warm, high 90s"
Horned Grebe,,,6,,Tim's House,,,2/4/2007,13:30,MD,US,stationary,2,90,Y,,,"Windy and warm, high 90s"
Northern Gannet,,,40,Flying around bay,Tim's House,,,2/4/2007,13:30,MD,US,stationary,2,90,Y,,,"Windy and warm, high 90s"
Double-crested Cormorant,,,8,,Tim's House,,,2/4/2007,13:30,MD,US,stationary,2,90,Y,,,"Windy and warm, high 90s"
Great Blue Heron,,,1,,Tim's House,,,2/4/2007,13:30,MD,US,stationary,2,90,Y,,,"Windy and warm, high 90s"
Black Vulture,,,2,,Tim's House,,,2/4/2007,13:30,MD,US,stationary,2,90,Y,,,"Windy and warm, high 90s"
Turkey Vulture,,,8,Soaring overhead,Tim's House,,,2/4/2007,13:30,MD,US,stationary,2,90,Y,,,"Windy and warm, high 90s"
Osprey,,,3,,Tim's House,,,2/4/2007,13:30,MD,US,stationary,2,90,Y,,,"Windy and warm, high 90s"
Tufted Titmouse,,,2,,Tim's House,,,2/4/2007,13:30,MD,US,stationary,2,90,Y,,,"Windy and warm, high 90s"
European Starling,,,25,,Tim's House,,,2/4/2007,13:30,MD,US,stationary,2,90,Y,,,"Windy and warm, high 90s"
Yellow-rumped Warbler,,,2,"One male, one female",Tim's House,,,2/4/2007,13:30,MD,US,stationary,2,90,Y,,,"Windy and warm, high 90s"
Pine Warbler,,,5,,Tim's House,,,2/4/2007,13:30,MD,US,stationary,2,90,Y,,,"Windy and warm, high 90s"
Canada Goose,,,7,,Casa Del Jeff,,,2/8/2007,14:00,MD,US,traveling,4,30,Y,1.5,,"Hot and humid, high 90s"
Mallard,,,18,,Casa Del Jeff,,,2/8/2007,14:00,MD,US,traveling,4,30,Y,1.5,,"Hot and humid, high 90s"
Ring-necked Duck,,,3,,Casa Del Jeff,,,2/8/2007,14:00,MD,US,traveling,4,30,Y,1.5,,"Hot and humid, high 90s"
Brown Thrasher,,,2,,Casa Del Jeff,,,2/8/2007,14:00,MD,US,traveling,4,30,Y,1.5,,"Hot and humid, high 90s"
Pine Warbler,,,2,,Casa Del Jeff,,,2/8/2007,14:00,MD,US,traveling,4,30,Y,1.5,,"Hot and humid, high 90s"
Swamp Sparrow,,,3,,Casa Del Jeff,,,2/8/2007,14:00,MD,US,traveling,4,30,Y,1.5,,"Hot and humid, high 90s"
White-throated Sparrow,,,13,,Casa Del Jeff,,,2/8/2007,14:00,MD,US,traveling,4,30,Y,1.5,,"Hot and humid, high 90s"
Northern Cardinal,,,8,,Casa Del Jeff,,,2/8/2007,14:00,MD,US,traveling,4,30,Y,1.5,,"Hot and humid, high 90s"
Common Grackle,,,9,,Casa Del Jeff,,,2/8/2007,14:00,MD,US,traveling,4,30,Y,1.5,,"Hot and humid, high 90s"
House Finch,,,3,,Casa Del Jeff,,,2/8/2007,14:00,MD,US,traveling,4,30,Y,1.5,,"Hot and humid, high 90s"
American Goldfinch,,,10,,Casa Del Jeff,,,2/8/2007,14:00,MD,US,traveling,4,30,Y,1.5,,"Hot and humid, high 90s"
House Sparrow,,,3,,Casa Del Jeff,,,2/8/2007,14:00,MD,US,traveling,4,30,Y,1.5,,"Hot and humid, high 90s"
Brant,,,150,,Paul's Boutique,,,2/8/2007,3:00 PM,MD,US,stationary,4,60,Y,,,"Hot and humid, high 90s"
Canada Goose,,,6,,Paul's Boutique,,,2/8/2007,3:00 PM,MD,US,stationary,4,60,Y,,,"Hot and humid, high 90s"
Bufflehead,,,25,,Paul's Boutique,,,2/8/2007,3:00 PM,MD,US,stationary,4,60,Y,,,"Hot and humid, high 90s"
Purple Martin,,,7,,Paul's Boutique,,,2/8/2007,3:00 PM,MD,US,stationary,4,60,Y,,,"Hot and humid, high 90s"
Tufted Titmouse,,,5,,Paul's Boutique,,,2/8/2007,3:00 PM,MD,US,stationary,4,60,Y,,,"Hot and humid, high 90s"
Carolina Wren,,,3,,Paul's Boutique,,,2/8/2007,3:00 PM,MD,US,stationary,4,60,Y,,,"Hot and humid, high 90s"
Blue-gray Gnatcatcher,,,2,,Paul's Boutique,,,2/8/2007,3:00 PM,MD,US,stationary,4,60,Y,,,"Hot and humid, high 90s"
American Robin,,,15,,Paul's Boutique,,,2/8/2007,3:00 PM,MD,US,stationary,4,60,Y,,,"Hot and humid, high 90s"
European Starling,,,5,,Paul's Boutique,,,2/8/2007,3:00 PM,MD,US,stationary,4,60,Y,,,"Hot and humid, high 90s"
